"","Species","Min_Altitude","Max_Altitude","Avg_Altitude","SpeciesAverageCover","NumberOfSites","AltitudeRange"
"516","Odontites.luteus..L...Clairv.",678.6,990.8,834.7,0.5,2,312.2
"517","Viola.rupestris.F..W..Schmidt",982.9,990.8,986.85,0.1,2,7.89999999999998
"518","Viola.pyrenaica.DC.",888.2,986,937.1,0.1,2,97.8
"519","Thesium.linophyllon.L.",678.6,684.1,681.35,0.5,2,5.5
"520","Seseli.pallasii.Besser",734.4,734.4,734.4,0.1,1,0
"521","Alchemilla.conjuncta.superaggr.",1205.4,2499.4,1943.00508474576,9.33898305084746,118,1294
"522","Cirsium.vulgare..Savi..Ten.",1326.6,1550,1423.45,0.3,4,223.4
"523","Gentiana.lutea.L.",1581.6,2003.6,1829.2,0.34,5,422
"524","Peucedanum.ostruthium..L...W..D..J..Koch",1581.6,2003.6,1792.6,12.75,2,422
"525","Phleum.alpinum.L.",1669.9,2003.6,1836.75,0.3,2,333.7
"526","Chaerophyllum.villarsii.W..D..J..Koch",1581.6,1607.3,1594.45,1,2,25.7
"527","Crepis.pyrenaica..L...Greuter",1391.1,1733.4,1520.5,3.1,6,342.3
"528","Gnaphalium.sylvaticum.L.",1581.6,1581.6,1581.6,0.1,1,0
"529","Rosa.arvensis.Huds.",1281.5,1581.6,1431.55,1.75,2,300.1
"530","Sorbus.chamaemespilus..L...Crantz",1581.6,2044.1,1864.45,1.85,6,462.5
"531","Tussilago.farfara.L.",1709.1,1802.9,1740.4,1.86666666666667,3,93.8000000000002
"532","Festuca.ovina.superaggr.",1594.7,1594.7,1594.7,0.1,1,0
"533","Crepis.alpestris..Jacq...Tausch",1716.4,1968.1,1842.25,0.3,2,251.7
"534","Helictotrichon.pratense.aggr.",1716.4,2202.1,1986.5,0.4,3,485.7
"535","Luzula.multiflora..Ehrh...Lej.",1716.4,1716.4,1716.4,0.1,1,0
"536","Ranunculus.montanus.Willd.",1397.2,2269.3,1915.76923076923,0.930769230769231,13,872.1
"537","Tragopogon.pratensis.L.",1318.5,1588,1407.94,0.26,5,269.5
"538","Paris.quadrifolia.L.",1057.1,1360,1170.675,0.9,4,302.9
"539","Polytrichum.longisetum.Brid.",1088.7,1088.7,1088.7,0.1,1,0
"540","Prenanthes.purpurea.L.",715.1,1515,1119.35,1.125,4,799.9
"541","Ribes.alpinum.L.",1088.7,1360,1224.35,0.5,2,271.3
"542","Dryopteris.filix.mas..L...Schott",1052.3,1575.5,1273.88,1.92,5,523.2
"543","Phyteuma.spicatum.L.",1052.3,1332.4,1226.96666666667,0.4,3,280.1
"544","Valeriana.tripteris.L.",893.7,1399.6,1206.38333333333,0.5,6,505.9
"545","Digitalis.grandiflora.Mill.",1733.4,1733.4,1733.4,1,1,0
"546","Pulsatilla.alpina..L...Delarbre.subsp..alpina",1733.4,1733.4,1733.4,0.1,1,0
"547","Carex.ferruginea.Scop.",1664.7,2220.5,1972.83333333333,0.1,3,555.8
"548","Poa.supina.Schrad.",1669.9,2211.6,1876.29333333333,11.6,15,541.7
"549","Daphne.mezereum.L.",1132.7,2177,1684.9,0.627272727272727,11,1044.3
"550","Luzula.luzulina..Vill...Dalla.Torre...Sarnth.",1832,1832,1832,0.1,1,0
"551","Poa.chaixii.Vill.",1431.7,1887.6,1717.1,0.366666666666667,3,455.9
"552","Campanula.cochleariifolia.Lam.",1802.9,2560.4,2271.06153846154,0.515384615384615,13,757.5
"553","Poa.annua.L.",1802.9,1802.9,1802.9,1.5,1,0
"554","Pseudorchis.albida..L...Á..Löve...D..Löve",1731.4,1975.7,1853.55,0.1,2,244.3
"555","Lamium.maculatum..L...L.",1431.7,1709.2,1570.45,1.5,2,277.5
"556","Acinos.arvensis..Lam...Dandy",1413.9,1413.9,1413.9,0.5,1,0
"557","Thymus.pulegioides.subsp..carniolicus..Borbás..P..A..Schmidt",1413.9,1413.9,1413.9,2,1,0
"558","Angelica.sylvestris.L.",1494.8,1494.8,1494.8,0.1,1,0
"559","Carlina.acaulis.subsp..caulescens..Lam...Schübl....G..Martens",1494.8,1494.8,1494.8,2,1,0
"560","Lonicera.nigra.L.",1360,1460.3,1409.66666666667,6.5,3,100.3
"561","Asplenium.viride.Huds.",1332.4,2458.6,2113.48,0.26,5,1126.2
"562","Milium.effusum.L.",1281.5,1281.5,1281.5,0.1,1,0
"563","Elymus.caninus..L...L.",1132.7,1132.7,1132.7,4,1,0
"564","Petasites.albus..L...Gaertn.",1132.7,1575.5,1351.275,4.125,4,442.8
"565","Stachys.alpina.L.",1457.2,1457.2,1457.2,0.5,1,0
"566","Dryopteris.affinis..Lowe..Fraser.Jenk.",1360,1360,1360,5,1,0
"567","Epilobium.alpestre..Jacq...Krock.",1744,1744,1744,2.5,1,0
"568","Lamium.purpureum.L.",1742,1744,1743,4.55,2,2
"569","Adenostyles.alliariae..Gouan..A..Kern.",1399.6,1736.7,1568.15,5,2,337.1
"570","Myosotis.alpestris.F..W..Schmidt",1694,2736.2,2139.66,0.132,25,1042.2
"571","Cerastium.arvense.L.",1858.7,2254.7,2057.23846153846,0.130769230769231,13,396
"572","Oxytropis.jacquinii.Bunge",2071.1,2481.2,2219.17,0.36,10,410.1
"573","Carex.atrata.aggr.",2009.4,2188.7,2061.05,1.3625,8,179.3
"574","Dianthus.superbus.L.",1858.7,2188.7,2030.33333333333,0.4,3,330
"575","Euphrasia.minima.Schleich.",1851.5,2736.2,2122.78928571429,0.271428571428571,28,884.7
"576","Gentiana.nivalis.L.",1989.9,2219.8,2084.43333333333,0.1,3,229.9
"577","Ligusticum.mutellina..L...Crantz",1205.4,2330.2,2046.26,0.252,25,1124.8
"578","Salix.reticulata.L.",1975.7,2254.9,2106,1.06363636363636,11,279.2
"579","Cirsium.spinosissimum..L...Scop.",1397.1,2499.4,2135.65454545455,2.04090909090909,22,1102.3
"580","Euphrasia.stricta.J..F..Lehm.",1989.9,2188.7,2118.53333333333,0.1,3,198.8
"581","Parnassia.palustris.L.",1989.9,2302.8,2116.12222222222,0.144444444444444,9,312.9
