"unique_plant_ID","ind_number","species","functional_group","date_measurement","date_planting","collector","height_vegetative_str","vegetative_width","leaf_length1","leaf_length2","leaf_length3","number_leaves"
"CHE.lo.ambi.vege.wf.03.17.1",1,"plamed","forb",2021-06-21,2021-06-16,"CB",65,NA,64,50,55,6
"CHE.lo.ambi.vege.wf.03.18.1",1,"hypper","forb",2021-06-21,2021-06-16,"CB",71,NA,18,18,15,26
"CHE.lo.ambi.vege.wf.03.19.1",1,"salpra","forb",2021-06-21,2021-06-16,"CB",80,NA,71,66,66,8
"CHE.lo.ambi.vege.wf.03.20.1",1,"silvul","forb",2021-06-21,2021-06-16,"CB",66,NA,46,46,36,10
"CHE.lo.ambi.vege.wf.03.21.1",1,"medlup","legume",2021-06-21,2021-06-16,"CB",76,NA,14,13,10,4
"CHE.lo.ambi.vege.wf.03.22.1",1,"silvul","forb",2021-06-21,2021-06-16,"CB",208,NA,40,43,36,14
"CHE.lo.ambi.vege.wf.03.23.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",37,NA,32,26,23,6
"CHE.lo.ambi.vege.wf.03.24.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",36,NA,36,32,26,6
"CHE.lo.ambi.vege.wf.03.25.1",1,"cenjac","forb",2021-06-21,2021-06-16,"CB",141,NA,129,112,86,5
"CHE.lo.ambi.vege.wf.03.26.1",1,"salpra","forb",2021-06-21,2021-06-16,"CB",213,NA,55,54,50,9
"CHE.lo.ambi.vege.wf.03.27.1",1,"medlup","legume",2021-06-21,2021-06-16,"CB",76,NA,14,11,10,5
"CHE.lo.ambi.vege.wf.03.28.1",1,"salpra","forb",2021-06-21,2021-06-16,"CB",79,NA,74,72,57,8
"CHE.lo.ambi.vege.wf.03.29.1",1,"plamed","forb",2021-06-21,2021-06-16,"CB",58,NA,53,47,47,8
"CHE.lo.ambi.vege.wf.03.30.1",1,"cenjac","forb",2021-06-21,2021-06-16,"CB",128,NA,116,106,97,6
"CHE.lo.ambi.bare.wf.03.01.2",2,"brapin","graminoid",2021-06-28,2021-06-21,"EI",171,NA,137,131,78,7
"CHE.lo.ambi.bare.wf.03.02.2",2,"daucar","forb",2021-06-28,2021-06-21,"EI",148,NA,132,120,98,5
"CHE.lo.ambi.bare.wf.03.03.2",2,"broere","graminoid",2021-06-28,2021-06-21,"EI",193,NA,165,153,124,4
"CHE.lo.ambi.bare.wf.03.04.2",2,"broere","graminoid",2021-06-28,2021-06-21,"EI",228,NA,189,193,119,4
"CHE.lo.ambi.bare.wf.03.05.2",2,"hypper","forb",2021-06-28,2021-06-21,"EI",91,NA,19,19,19,56
"CHE.lo.ambi.bare.wf.03.06.2",2,"scacol","forb",2021-06-28,2021-06-21,"EI",15,NA,10,9,NA,2
"CHE.lo.ambi.bare.wf.03.07.2",2,"broere","graminoid",2021-06-28,2021-06-21,"EI",304,NA,271,252,176,3
"CHE.lo.ambi.bare.wf.03.08.1",1,"brapin","graminoid",2021-06-28,2021-06-16,"EI",256,NA,225,150,76,3
"CHE.lo.ambi.bare.wf.03.09.1",1,"medlup","legume",2021-06-28,2021-06-16,"EI",69,NA,15,14,14,10
"CHE.lo.ambi.bare.wf.03.10.2",2,"plamed","forb",2021-06-28,2021-06-21,"EI",48,NA,42,42,37,5
"CHE.lo.ambi.bare.wf.03.11.1",1,"silvul","forb",2021-06-28,2021-06-16,"EI",159,NA,32,32,30,42
"CHE.lo.ambi.bare.wf.03.12.2",2,"daucar","forb",2021-06-28,2021-06-24,"EI",164,NA,155,126,123,5
"CHE.lo.ambi.bare.wf.03.13.1",1,"daucar","forb",2021-06-28,2021-06-16,"EI",83,NA,74,15,NA,2
"CHE.lo.ambi.bare.wf.03.14.1",1,"cenjac","forb",2021-06-28,2021-06-16,"EI",90,NA,88,55,70,5
"CHE.lo.ambi.bare.wf.03.15.2",2,"hypper","forb",2021-06-28,2021-06-21,"EI",42,NA,14,14,13,17
"CHE.lo.ambi.bare.wf.03.16.1",1,"brapin","graminoid",2021-06-28,2021-06-16,"EI",224,NA,171,133,64,6
"CHE.lo.ambi.bare.wf.03.17.1",1,"plamed","forb",2021-06-28,2021-06-16,"EI",36,NA,34,18,8,4
"CHE.lo.ambi.bare.wf.03.18.1",1,"hypper","forb",2021-06-28,2021-06-16,"EI",62,NA,17,18,12,20
"CHE.lo.ambi.bare.wf.03.19.1",1,"salpra","forb",2021-06-28,2021-06-16,"EI",36,NA,34,28,23,6
"CHE.lo.ambi.bare.wf.03.20.2",2,"silvul","forb",2021-06-28,2021-06-21,"EI",78,NA,35,36,32,40
"CHE.lo.ambi.bare.wf.03.21.1",1,"medlup","legume",2021-06-28,2021-06-16,"EI",52,NA,10,10,8,5
"CHE.lo.ambi.bare.wf.03.22.2",2,"silvul","forb",2021-06-28,2021-06-24,"EI",113,NA,39,33,31,11
"CHE.lo.ambi.bare.wf.03.23.3",3,"scacol","forb",2021-06-28,2021-06-24,"EI",19,NA,18,15,15,5
"CHE.lo.ambi.bare.wf.03.24.2",2,"scacol","forb",2021-06-28,2021-06-21,"EI",23,NA,23,23,3,6
"CHE.lo.ambi.bare.wf.03.25.1",1,"cenjac","forb",2021-06-28,2021-06-16,"EI",60,NA,57,34,50,4
"CHE.lo.ambi.bare.wf.03.26.1",1,"salpra","forb",2021-06-28,2021-06-16,"EI",58,NA,33,38,43,7
"CHE.lo.ambi.bare.wf.03.27.2",2,"medlup","legume",2021-06-28,2021-06-24,"EI",117,NA,19,18,17,8
"CHE.lo.ambi.bare.wf.03.28.1",1,"salpra","forb",2021-06-28,2021-06-16,"EI",25,NA,17,23,12,5
"CHE.lo.ambi.bare.wf.03.29.1",1,"plamed","forb",2021-06-28,2021-06-16,"EI",48,NA,47,18,15,4
"CHE.lo.ambi.bare.wf.03.30.1",1,"cenjac","forb",2021-06-28,2021-06-16,"EI",70,NA,68,40,36,4
"CHE.lo.ambi.vege.wf.04.01.1",1,"brapin","graminoid",2021-06-21,2021-06-16,"CB",228,NA,121,132,54,4
"CHE.lo.ambi.vege.wf.04.02.1",1,"daucar","forb",2021-06-21,2021-06-16,"CB",158,NA,150,152,132,6
"CHE.lo.ambi.vege.wf.04.03.1",1,"broere","graminoid",2021-06-21,2021-06-16,"CB",274,NA,229,203,244,4
"CHE.lo.ambi.vege.wf.04.04.1",1,"broere","graminoid",2021-06-21,2021-06-16,"EI",392,NA,341,318,278,7
"CHE.lo.ambi.vege.wf.04.05.1",1,"hypper","forb",2021-06-21,2021-06-16,"EI",84,NA,18,18,17,14
"CHE.lo.ambi.vege.wf.04.06.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",24,NA,21,18,17,6
"CHE.lo.ambi.vege.wf.04.07.1",1,"broere","graminoid",2021-06-21,2021-06-16,"CB",374,NA,233,286,312,7
"CHE.lo.ambi.vege.wf.04.08.1",1,"brapin","graminoid",2021-06-21,2021-06-16,"EI",380,NA,220,146,79,8
"CHE.lo.ambi.vege.wf.04.09.1",1,"medlup","legume",2021-06-21,2021-06-16,"EI",63,NA,10,11,9,4
"CHE.lo.ambi.vege.wf.04.10.1",1,"plamed","forb",2021-06-21,2021-06-16,"EI",69,NA,62,57,61,5
"CHE.lo.ambi.vege.wf.04.11.1",1,"silvul","forb",2021-06-21,2021-06-16,"CB",139,NA,35,34,30,20
"CHE.lo.ambi.vege.wf.04.12.1",1,"daucar","forb",2021-06-21,2021-06-16,"CB",168,NA,160,152,123,4
"CHE.lo.ambi.vege.wf.04.13.1",1,"daucar","forb",2021-06-21,2021-06-16,"CB",155,NA,144,88,96,4
"CHE.lo.ambi.vege.wf.04.14.1",1,"cenjac","forb",2021-06-21,2021-06-16,"EI",174,NA,162,131,136,6
"CHE.lo.ambi.vege.wf.04.15.1",1,"hypper","forb",2021-06-21,2021-06-16,"EI",80,NA,17,18,17,19
"CHE.lo.ambi.vege.wf.04.16.1",1,"brapin","graminoid",2021-06-21,2021-06-16,"CB",274,NA,209,166,88,4
"CHE.lo.ambi.vege.wf.04.17.1",1,"plamed","forb",2021-06-21,2021-06-16,"CB",83,NA,73,70,64,6
"CHE.lo.ambi.vege.wf.04.18.1",1,"hypper","forb",2021-06-21,2021-06-16,"EI",84,NA,17,18,17,18
"CHE.lo.ambi.vege.wf.04.19.1",1,"salpra","forb",2021-06-21,2021-06-16,"EI",65,NA,60,52,54,8
"CHE.lo.ambi.vege.wf.04.20.1",1,"silvul","forb",2021-06-21,2021-06-16,"EI",107,NA,43,44,50,24
"CHE.lo.ambi.vege.wf.04.21.1",1,"medlup","legume",2021-06-21,2021-06-16,"CB",53,NA,10,10,9,4
"CHE.lo.ambi.vege.wf.04.22.1",1,"silvul","forb",2021-06-21,2021-06-16,"CB",134,NA,36,33,31,42
"CHE.lo.ambi.vege.wf.04.23.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",22,NA,21,19,20,4
"CHE.lo.ambi.vege.wf.04.24.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",44,NA,42,39,28,8
"CHE.lo.ambi.vege.wf.04.25.1",1,"cenjac","forb",2021-06-21,2021-06-16,"CB",138,NA,110,106,124,6
"CHE.lo.ambi.vege.wf.04.26.1",1,"salpra","forb",2021-06-21,2021-06-16,"CB",58,NA,45,44,44,10
