unique_plot_ID,veg_height
CHE.hi.warm.vege.wf.06,65
CHE.hi.warm.vege.wf.07,65
CHE.hi.ambi.vege.wf.07,50
CHE.hi.ambi.vege.nf.08,52
CHE.hi.ambi.vege.wf.08,171
CHE.hi.warm.vege.nf.08,86
CHE.hi.warm.vege.wf.08,122
CHE.hi.warm.vege.nf.09,68
CHE.hi.ambi.vege.nf.09,80
CHE.hi.warm.vege.wf.09,28
CHE.hi.ambi.vege.wf.09,280
CHE.hi.warm.vege.nf.10,105
CHE.hi.ambi.vege.wf.10,158
CHE.hi.warm.vege.wf.10,62
CHE.hi.ambi.vege.nf.10,40
CHE.lo.ambi.vege.wf.09,392
CHE.lo.ambi.vege.wf.08,250
CHE.lo.ambi.vege.wf.07,215
CHE.lo.ambi.vege.wf.06,206
CHE.lo.ambi.vege.wf.10,538
CHE.lo.ambi.vege.wf.04,350
CHE.lo.ambi.vege.wf.01,454
CHE.lo.ambi.vege.wf.02,192
CHE.lo.ambi.vege.wf.05,532
CHE.lo.ambi.vege.wf.03,190
CHE.hi.ambi.vege.wf.02,51
CHE.hi.ambi.vege.nf.02,23
CHE.hi.warm.vege.nf.02,91
CHE.hi.warm.vege.wf.02,58
CHE.hi.ambi.vege.wf.03,99
CHE.hi.warm.vege.nf.03,106
CHE.hi.warm.vege.wf.03,100
CHE.hi.ambi.vege.nf.03,18
CHE.hi.warm.vege.wf.05,79
CHE.hi.ambi.vege.nf.05,80
CHE.hi.warm.vege.nf.05,88
CHE.hi.ambi.vege.wf.05,65
CHE.hi.warm.vege.wf.04,54
CHE.hi.warm.vege.wf.01,32
CHE.hi.warm.vege.nf.04,62
CHE.hi.ambi.vege.wf.04,58
CHE.hi.ambi.vege.nf.04,105
CHE.hi.ambi.vege.wf.01,167
CHE.hi.ambi.vege.wf.06,86
CHE.hi.ambi.vege.nf.06,75
CHE.hi.warm.vege.nf.06,72
CHE.hi.warm.vege.wf.06,47
CHE.hi.warm.vege.wf.07,61
CHE.hi.ambi.vege.wf.07,38
CHE.hi.ambi.vege.nf.08,48
CHE.hi.ambi.vege.wf.08,58
CHE.hi.warm.vege.nf.08,58
CHE.hi.warm.vege.wf.08,83
CHE.hi.warm.vege.nf.09,45
CHE.hi.ambi.vege.nf.09,25
CHE.hi.warm.vege.wf.09,49
CHE.hi.ambi.vege.wf.09,71
CHE.hi.warm.vege.nf.10,80
CHE.hi.ambi.vege.wf.10,137
CHE.hi.warm.vege.wf.10,98
CHE.hi.ambi.vege.nf.10,39
CHE.lo.ambi.vege.wf.09,275
CHE.lo.ambi.vege.wf.08,388
CHE.lo.ambi.vege.wf.07,653
CHE.lo.ambi.vege.wf.06,492
CHE.lo.ambi.vege.wf.10,377
CHE.lo.ambi.vege.wf.04,274
CHE.lo.ambi.vege.wf.01,558
CHE.lo.ambi.vege.wf.02,494
CHE.lo.ambi.vege.wf.05,241
CHE.lo.ambi.vege.wf.03,595
CHE.hi.ambi.vege.wf.02,60
CHE.hi.ambi.vege.nf.02,59
CHE.hi.warm.vege.nf.02,52
CHE.hi.warm.vege.wf.02,137
CHE.hi.ambi.vege.wf.03,134
CHE.hi.warm.vege.nf.03,69
CHE.hi.warm.vege.wf.03,52
CHE.hi.ambi.vege.nf.03,74
CHE.hi.warm.vege.wf.05,49
CHE.hi.ambi.vege.nf.05,34
CHE.hi.warm.vege.nf.05,72
CHE.hi.ambi.vege.wf.05,58
CHE.hi.warm.vege.wf.04,42
CHE.hi.warm.vege.wf.01,60
CHE.hi.warm.vege.nf.04,50
CHE.hi.ambi.vege.wf.04,34
CHE.hi.ambi.vege.nf.04,186
CHE.hi.ambi.vege.wf.01,90
CHE.hi.ambi.vege.wf.06,87
CHE.hi.ambi.vege.nf.06,55
CHE.hi.warm.vege.nf.06,69
CHE.hi.warm.vege.wf.06,58
CHE.hi.warm.vege.wf.07,65
CHE.hi.ambi.vege.wf.07,40
CHE.hi.ambi.vege.nf.08,20
CHE.hi.ambi.vege.wf.08,81
CHE.hi.warm.vege.nf.08,86
CHE.hi.warm.vege.wf.08,50
CHE.hi.warm.vege.nf.09,55
CHE.hi.ambi.vege.nf.09,106
CHE.hi.warm.vege.wf.09,98
CHE.hi.ambi.vege.wf.09,56
CHE.hi.warm.vege.nf.10,61
CHE.hi.ambi.vege.wf.10,134
CHE.hi.warm.vege.wf.10,81
CHE.hi.ambi.vege.nf.10,71
CHE.lo.ambi.vege.wf.09,455
CHE.lo.ambi.vege.wf.08,394
CHE.lo.ambi.vege.wf.07,115
CHE.lo.ambi.vege.wf.06,492
CHE.lo.ambi.vege.wf.10,198
CHE.lo.ambi.vege.wf.04,260
CHE.lo.ambi.vege.wf.01,387
CHE.lo.ambi.vege.wf.02,162
CHE.lo.ambi.vege.wf.05,95
CHE.lo.ambi.vege.wf.03,159
CHE.hi.ambi.vege.wf.02,45
CHE.hi.ambi.vege.nf.02,184
CHE.hi.warm.vege.nf.02,28
CHE.hi.warm.vege.wf.02,168
CHE.hi.ambi.vege.wf.03,105
CHE.hi.warm.vege.nf.03,59
CHE.hi.warm.vege.wf.03,73
CHE.hi.ambi.vege.nf.03,72
CHE.hi.warm.vege.wf.05,63
CHE.hi.ambi.vege.nf.05,180
CHE.hi.warm.vege.nf.05,91
CHE.hi.ambi.vege.wf.05,108
CHE.hi.warm.vege.wf.04,71
CHE.hi.warm.vege.wf.01,130
CHE.hi.warm.vege.nf.04,40
CHE.hi.ambi.vege.wf.04,102
CHE.hi.ambi.vege.nf.04,117
CHE.hi.ambi.vege.wf.01,131
CHE.hi.ambi.vege.wf.06,49
CHE.hi.ambi.vege.nf.06,63
CHE.hi.warm.vege.nf.06,23
CHE.hi.warm.vege.wf.06,50
CHE.hi.warm.vege.wf.07,111
CHE.hi.ambi.vege.wf.07,50
CHE.hi.ambi.vege.nf.08,47
CHE.hi.ambi.vege.wf.08,59
CHE.hi.warm.vege.nf.08,28
CHE.hi.warm.vege.wf.08,82
CHE.hi.warm.vege.nf.09,42
CHE.hi.ambi.vege.nf.09,49
CHE.hi.warm.vege.wf.09,52
CHE.hi.ambi.vege.wf.09,99
CHE.hi.warm.vege.nf.10,35
CHE.hi.ambi.vege.wf.10,234
CHE.hi.warm.vege.wf.10,112
CHE.hi.ambi.vege.nf.10,65
CHE.lo.ambi.vege.wf.09,149
CHE.lo.ambi.vege.wf.08,230
CHE.lo.ambi.vege.wf.07,368
CHE.lo.ambi.vege.wf.06,195
CHE.lo.ambi.vege.wf.10,554
CHE.lo.ambi.vege.wf.04,368
CHE.lo.ambi.vege.wf.01,203
CHE.lo.ambi.vege.wf.02,145
CHE.lo.ambi.vege.wf.05,387
CHE.lo.ambi.vege.wf.03,478
CHE.hi.ambi.vege.wf.02,90
CHE.hi.ambi.vege.nf.02,60
CHE.hi.warm.vege.nf.02,10
CHE.hi.warm.vege.wf.02,75
CHE.hi.ambi.vege.wf.03,106
CHE.hi.warm.vege.nf.03,22
CHE.hi.warm.vege.wf.03,78
CHE.hi.ambi.vege.nf.03,70
CHE.hi.warm.vege.wf.05,49
CHE.hi.ambi.vege.nf.05,39
CHE.hi.warm.vege.nf.05,106
CHE.hi.ambi.vege.wf.05,159
CHE.hi.warm.vege.wf.04,25
CHE.hi.warm.vege.wf.01,94
CHE.hi.warm.vege.nf.04,58
CHE.hi.ambi.vege.wf.04,121
CHE.hi.ambi.vege.nf.04,222
CHE.hi.ambi.vege.wf.01,64
CHE.hi.ambi.vege.wf.06,147
CHE.hi.ambi.vege.nf.06,101
CHE.hi.warm.vege.nf.06,15
CHE.hi.warm.vege.wf.06,72
CHE.hi.warm.vege.wf.07,89
CHE.hi.ambi.vege.wf.07,54
CHE.hi.ambi.vege.nf.08,79
CHE.hi.ambi.vege.wf.08,69
CHE.hi.warm.vege.nf.08,35
CHE.hi.warm.vege.wf.08,87
CHE.hi.warm.vege.nf.09,33
CHE.hi.ambi.vege.nf.09,55
CHE.hi.warm.vege.wf.09,161
CHE.hi.ambi.vege.wf.09,48
CHE.hi.warm.vege.nf.10,24
CHE.hi.ambi.vege.wf.10,73
CHE.hi.warm.vege.wf.10,34
CHE.hi.ambi.vege.nf.10,80
CHE.lo.ambi.vege.wf.09,448
CHE.lo.ambi.vege.wf.08,252
CHE.lo.ambi.vege.wf.07,210
CHE.lo.ambi.vege.wf.06,254
CHE.lo.ambi.vege.wf.10,202
CHE.lo.ambi.vege.wf.04,528
CHE.lo.ambi.vege.wf.01,466
CHE.lo.ambi.vege.wf.02,200
CHE.lo.ambi.vege.wf.05,158
CHE.lo.ambi.vege.wf.03,311
CHE.hi.ambi.vege.wf.02,151
CHE.hi.ambi.vege.nf.02,55
CHE.hi.warm.vege.nf.02,51
CHE.hi.warm.vege.wf.02,79
CHE.hi.ambi.vege.wf.03,55
CHE.hi.warm.vege.nf.03,65
CHE.hi.warm.vege.wf.03,80
CHE.hi.ambi.vege.nf.03,150
CHE.hi.warm.vege.wf.05,62
CHE.hi.ambi.vege.nf.05,120
CHE.hi.warm.vege.nf.05,109
CHE.hi.ambi.vege.wf.05,141
CHE.hi.warm.vege.wf.04,91
CHE.hi.warm.vege.wf.01,68
CHE.hi.warm.vege.nf.04,38
CHE.hi.ambi.vege.wf.04,88
CHE.hi.ambi.vege.nf.04,62
CHE.hi.ambi.vege.wf.01,65
CHE.hi.ambi.vege.wf.06,176
CHE.hi.ambi.vege.nf.06,98
CHE.hi.warm.vege.nf.06,20
CHE.hi.warm.vege.wf.06,48
CHE.hi.warm.vege.wf.07,72
CHE.hi.ambi.vege.wf.07,71
CHE.hi.ambi.vege.nf.08,91
CHE.hi.ambi.vege.wf.08,51
CHE.hi.warm.vege.nf.08,48
CHE.hi.warm.vege.wf.08,168
CHE.hi.warm.vege.nf.09,25
CHE.hi.ambi.vege.nf.09,92
CHE.hi.warm.vege.wf.09,64
CHE.hi.ambi.vege.wf.09,94
CHE.hi.warm.vege.nf.10,79
CHE.hi.ambi.vege.wf.10,198
CHE.hi.warm.vege.wf.10,102
CHE.hi.ambi.vege.nf.10,76
CHE.lo.ambi.vege.wf.09,352
CHE.lo.ambi.vege.wf.08,387
CHE.lo.ambi.vege.wf.07,360
CHE.lo.ambi.vege.wf.06,248
CHE.lo.ambi.vege.wf.10,240
CHE.lo.ambi.vege.wf.04,462
CHE.lo.ambi.vege.wf.01,472
CHE.lo.ambi.vege.wf.02,105
CHE.lo.ambi.vege.wf.05,567
CHE.lo.ambi.vege.wf.03,283
CHE.hi.ambi.vege.wf.02,38
CHE.hi.ambi.vege.nf.02,76
CHE.hi.warm.vege.nf.02,21
CHE.hi.warm.vege.wf.02,58
CHE.hi.ambi.vege.wf.03,80
CHE.hi.warm.vege.nf.03,42
CHE.hi.warm.vege.wf.03,67
CHE.hi.ambi.vege.nf.03,123
CHE.hi.warm.vege.wf.05,80
CHE.hi.ambi.vege.nf.05,90
CHE.hi.warm.vege.nf.05,60
CHE.hi.ambi.vege.wf.05,85
CHE.hi.warm.vege.wf.04,121
CHE.hi.warm.vege.wf.01,109
CHE.hi.warm.vege.nf.04,52
CHE.hi.ambi.vege.wf.04,165
CHE.hi.ambi.vege.nf.04,96
CHE.hi.ambi.vege.wf.01,91
CHE.hi.ambi.vege.wf.06,71
CHE.hi.ambi.vege.nf.06,63
CHE.hi.warm.vege.nf.06,56
CHE.hi.warm.vege.wf.06,90
CHE.hi.warm.vege.wf.07,80
CHE.hi.ambi.vege.wf.07,41
CHE.hi.ambi.vege.nf.08,86
CHE.hi.ambi.vege.wf.08,63
CHE.hi.warm.vege.nf.08,34
CHE.hi.warm.vege.wf.08,108
CHE.hi.warm.vege.nf.09,67
CHE.hi.ambi.vege.nf.09,296
CHE.hi.warm.vege.wf.09,75
CHE.hi.ambi.vege.wf.09,91
CHE.hi.warm.vege.nf.10,95
CHE.hi.ambi.vege.wf.10,124
CHE.hi.warm.vege.wf.10,100
CHE.hi.ambi.vege.nf.10,88
CHE.lo.ambi.vege.wf.09,250
