site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,scacol,bare.ambi,size_t1_log,107,0.16939903677754797,0.5715774970999709,0.28314237506650936,0.17687887608548983,0.786628893301967,NA,NA,ambi,bare,-4.1236021054972705,2.9701857225882624
hi,scacol,bare.ambi,flower_status,345,3.8652086607928915,2.560988755082352,0.4946749668596609,0.5367897340728592,NA,NA,NA,ambi,bare,-4.1236021054972705,2.9701857225882624
hi,scacol,bare.ambi,number_seeds,129,0.7786088571631846,5.298496821139646,0.08589711645093942,0.01170343794119701,NA,NA,NA,ambi,bare,-4.1236021054972705,2.9701857225882624
hi,scacol,bare.ambi,germ_rate,178,NA,-3.402431187435945,0.19562393118397853,NA,NA,NA,NA,ambi,bare,-4.1236021054972705,2.9701857225882624
hi,scacol,bare.ambi,establishment,168,NA,-0.40546510810816344,0.4082482897013602,NA,NA,NA,NA,ambi,bare,-4.1236021054972705,2.9701857225882624
hi,scacol,bare.ambi,recruit_size,203,NA,NA,NA,NA,NA,-3.5391568492777745,0.8898223356314812,ambi,bare,-4.1236021054972705,2.9701857225882624
hi,scacol,bare.warm,survival,238,-0.49595523924018264,2.9733808495207246,0.6168623228684846,0.24753622845243456,NA,NA,NA,warm,bare,-4.740542838933023,3.2329867283760056
hi,scacol,bare.warm,size_t1_log,107,0.8144701578640989,-0.006651489344202011,0.262930548962902,0.17651674804819695,0.786628893301967,NA,NA,warm,bare,-4.740542838933023,3.2329867283760056
hi,scacol,bare.warm,flower_status,345,3.8652086607928915,2.560988755082352,0.4946749668596609,0.5367897340728592,NA,NA,NA,warm,bare,-4.740542838933023,3.2329867283760056
hi,scacol,bare.warm,number_seeds,129,0.8179219131345089,5.308604839632255,0.08525767450772859,0.00759177939381191,NA,NA,NA,warm,bare,-4.740542838933023,3.2329867283760056
hi,scacol,bare.warm,germ_rate,178,NA,-3.402431187435945,0.19562393118397853,NA,NA,NA,NA,warm,bare,-4.740542838933023,3.2329867283760056
hi,scacol,bare.warm,establishment,168,NA,-0.40546510810816344,0.4082482897013602,NA,NA,NA,NA,warm,bare,-4.740542838933023,3.2329867283760056
hi,scacol,bare.warm,recruit_size,203,NA,NA,NA,NA,NA,-3.5391568492777745,0.8898223356314812,warm,bare,-4.740542838933023,3.2329867283760056
hi,scacol,vege.ambi,survival,238,1.6559980847262437,25.474926914355574,2009.6499388329128,0.724277689526559,NA,NA,NA,ambi,vege,-4.413010090927471,0.28010644021093883
hi,scacol,vege.ambi,size_t1_log,107,0.7437633216810011,0.271809645806064,0.3585098286033955,0.1689004511562011,0.786628893301967,NA,NA,ambi,vege,-4.413010090927471,0.28010644021093883
hi,scacol,vege.ambi,flower_status,345,3.8652086607928915,2.560988755082352,0.4946749668596609,0.5367897340728592,NA,NA,NA,ambi,vege,-4.413010090927471,0.28010644021093883
hi,scacol,vege.ambi,number_seeds,129,0.5114948153838625,4.297867267732686,0.09115190688345895,0.07462856582231353,NA,NA,NA,ambi,vege,-4.413010090927471,0.28010644021093883
hi,scacol,vege.ambi,germ_rate,178,NA,-3.402431187435945,0.19562393118397853,NA,NA,NA,NA,ambi,vege,-4.413010090927471,0.28010644021093883
hi,scacol,vege.ambi,establishment,168,NA,-0.40546510810816344,0.4082482897013602,NA,NA,NA,NA,ambi,vege,-4.413010090927471,0.28010644021093883
hi,scacol,vege.ambi,recruit_size,203,NA,NA,NA,NA,NA,-3.5391568492777745,0.8898223356314812,ambi,vege,-4.413010090927471,0.28010644021093883
hi,scacol,vege.warm,survival,238,1.6559980847262437,7.736175216739154,2.5581167786579915,0.724277689526559,NA,NA,NA,warm,vege,-5.549236140827484,0.37794867482908456
hi,scacol,vege.warm,size_t1_log,107,1.388834442767552,1.1846148752496424,0.4224768632959707,0.18777461406433316,0.786628893301967,NA,NA,warm,vege,-5.549236140827484,0.37794867482908456
hi,scacol,vege.warm,flower_status,345,3.8652086607928915,2.560988755082352,0.4946749668596609,0.5367897340728592,NA,NA,NA,warm,vege,-5.549236140827484,0.37794867482908456
hi,scacol,vege.warm,number_seeds,129,0.9757963265696755,4.603534917578213,0.09682354948569398,0.10721664168568482,NA,NA,NA,warm,vege,-5.549236140827484,0.37794867482908456
hi,scacol,vege.warm,germ_rate,178,NA,-3.402431187435945,0.19562393118397853,NA,NA,NA,NA,warm,vege,-5.549236140827484,0.37794867482908456
hi,scacol,vege.warm,establishment,168,NA,-0.40546510810816344,0.4082482897013602,NA,NA,NA,NA,warm,vege,-5.549236140827484,0.37794867482908456
hi,scacol,vege.warm,recruit_size,203,NA,NA,NA,NA,NA,-3.5391568492777745,0.8898223356314812,warm,vege,-5.549236140827484,0.37794867482908456
hi,silvul,bare.ambi,survival,229,1.0295059577500403,2.7521012312424067,0.4828793362874335,0.27883696639876365,NA,NA,NA,ambi,bare,-4.66648981311693,3.3024122712967348
hi,silvul,bare.ambi,size_t1_log,101,0.9108027373777101,-1.1845942512260597,0.09647954759620311,0.04239025658291361,0.6835545197083979,NA,NA,ambi,bare,-4.66648981311693,3.3024122712967348
hi,silvul,bare.ambi,flower_status,330,1.2887350153237689,0.34350761474630626,0.363399350117545,0.3314393721021601,NA,NA,NA,ambi,bare,-4.66648981311693,3.3024122712967348
hi,silvul,bare.ambi,number_seeds,113,1.4462525867943552,5.408990929220898,0.19167163273711127,0.005098051238286753,NA,NA,NA,ambi,bare,-4.66648981311693,3.3024122712967348
hi,silvul,bare.ambi,germ_rate,179,NA,-1.7726163991056,0.14363370084547558,NA,NA,NA,NA,ambi,bare,-4.66648981311693,3.3024122712967348
hi,silvul,bare.ambi,establishment,178,NA,-0.8305494251298728,0.49794721487732363,NA,NA,NA,NA,ambi,bare,-4.66648981311693,3.3024122712967348
hi,silvul,bare.ambi,recruit_size,227,NA,NA,NA,NA,NA,-3.0313176126195014,1.1580428877418505,ambi,bare,-4.66648981311693,3.3024122712967348
hi,silvul,bare.warm,survival,229,1.0295059577500403,2.7521012312424067,0.4828793362874335,0.27883696639876365,NA,NA,NA,warm,bare,-5.392318092397184,2.3849141609786906
hi,silvul,bare.warm,size_t1_log,101,0.7404500099134883,-1.1650291200682745,0.10581456594805344,0.0505074487202681,0.6835545197083979,NA,NA,warm,bare,-5.392318092397184,2.3849141609786906
hi,silvul,bare.warm,flower_status,330,2.639023527247065,0.5167918428587026,0.41045646435648864,0.5367966240362659,NA,NA,NA,warm,bare,-5.392318092397184,2.3849141609786906
hi,silvul,bare.warm,number_seeds,113,1.5300777086978186,5.302657471703652,0.19166293369748852,0.007890166151858478,NA,NA,NA,warm,bare,-5.392318092397184,2.3849141609786906
hi,silvul,bare.warm,germ_rate,179,NA,-1.7726163991056,0.14363370084547558,NA,NA,NA,NA,warm,bare,-5.392318092397184,2.3849141609786906
hi,silvul,bare.warm,establishment,178,NA,-1.8722590521320035,0.5259910195063011,NA,NA,NA,NA,warm,bare,-5.392318092397184,2.3849141609786906
hi,silvul,bare.warm,recruit_size,227,NA,NA,NA,NA,NA,-3.0313176126195014,1.1580428877418505,warm,bare,-5.392318092397184,2.3849141609786906
hi,silvul,vege.ambi,survival,229,1.0295059577500403,5.41196977480248,0.9485823220143613,0.27883696639876365,NA,NA,NA,ambi,vege,-8.289306334778564,-0.5161811479768564
hi,silvul,vege.ambi,size_t1_log,101,0.9108027373777101,-1.1845942512260597,0.09647954759620311,0.04239025658291361,0.6835545197083979,NA,NA,ambi,vege,-8.289306334778564,-0.5161811479768564
hi,silvul,vege.ambi,flower_status,330,4.7147749075277146,4.152817668070204,2.0594216512324737,1.7554971275837323,NA,NA,NA,ambi,vege,-8.289306334778564,-0.5161811479768564
hi,silvul,vege.ambi,number_seeds,113,3.9856120391566394,8.341055852951687,0.24450922257386273,0.2099617097448315,NA,NA,NA,ambi,vege,-8.289306334778564,-0.5161811479768564
hi,silvul,vege.ambi,germ_rate,179,NA,-3.146729815622523,0.18081148145682457,NA,NA,NA,NA,ambi,vege,-8.289306334778564,-0.5161811479768564
hi,silvul,vege.ambi,establishment,178,NA,-0.8305494251298728,0.49794721487732363,NA,NA,NA,NA,ambi,vege,-8.289306334778564,-0.5161811479768564
hi,silvul,vege.ambi,recruit_size,227,NA,NA,NA,NA,NA,-3.0313176126195014,1.1580428877418505,ambi,vege,-8.289306334778564,-0.5161811479768564
hi,silvul,vege.warm,survival,229,1.0295059577500403,5.41196977480248,0.9485823220143613,0.27883696639876365,NA,NA,NA,warm,vege,-8.289306334778564,-0.060700265266862834
hi,silvul,vege.warm,size_t1_log,101,0.7404500099134883,-1.1650291200682745,0.10581456594805344,0.0505074487202681,0.6835545197083979,NA,NA,warm,vege,-8.289306334778564,-0.060700265266862834
hi,silvul,vege.warm,flower_status,330,6.065063419451011,4.3261018961826005,2.032384901213982,1.858821374322978,NA,NA,NA,warm,vege,-8.289306334778564,-0.060700265266862834
hi,silvul,vege.warm,number_seeds,113,4.069437161060103,6.031790242774133,0.19819088119582895,0.2096915094711132,NA,NA,NA,warm,vege,-8.289306334778564,-0.060700265266862834
hi,silvul,vege.warm,germ_rate,179,NA,-3.146729815622523,0.18081148145682457,NA,NA,NA,NA,warm,vege,-8.289306334778564,-0.060700265266862834
hi,silvul,vege.warm,establishment,178,NA,-1.8722590521320035,0.5259910195063011,NA,NA,NA,NA,warm,vege,-8.289306334778564,-0.060700265266862834
hi,silvul,vege.warm,recruit_size,227,NA,NA,NA,NA,NA,-3.0313176126195014,1.1580428877418505,warm,vege,-8.289306334778564,-0.060700265266862834
lo,brapin,bare.ambi,survival,105,1.6236241601726369,5.070738402846331,1.465634549930124,0.5573954520680151,NA,NA,NA,ambi,bare,-3.7245195397684996,3.955837346175569
lo,brapin,bare.ambi,size_t1_log,49,0.8318566846001719,1.3269909514326768,0.23962988822592846,0.11411965450172203,1.0883805104813757,NA,NA,ambi,bare,-3.7245195397684996,3.955837346175569
lo,brapin,bare.ambi,flower_status,157,2.3876882529167203,-2.242014318084159,0.6000900212171679,0.5137300477719199,NA,NA,NA,ambi,bare,-3.7245195397684996,3.955837346175569
lo,brapin,bare.ambi,number_seeds,31,1.6354319021795047,1.2130468257853602,0.32665699796740455,0.028251028130526212,NA,NA,NA,ambi,bare,-3.7245195397684996,3.955837346175569
lo,brapin,bare.ambi,germ_rate,60,NA,-1.334532633644899,0.3021536204472748,NA,NA,NA,NA,ambi,bare,-3.7245195397684996,3.955837346175569
lo,brapin,bare.ambi,establishment,60,NA,-1.6981203207939974,0.7354235931081704,NA,NA,NA,NA,ambi,bare,-3.7245195397684996,3.955837346175569
lo,brapin,bare.ambi,recruit_size,208,NA,NA,NA,NA,NA,-3.2039835329262294,0.9945428623383424,ambi,bare,-3.7245195397684996,3.955837346175569
lo,brapin,vege.ambi,survival,105,1.6236241601726369,8.915259960325752,2.247225041968094,0.5573954520680151,NA,NA,NA,ambi,vege,-7.665473872274615,2.3252272652368853
lo,brapin,vege.ambi,size_t1_log,49,0.8318566846001719,-0.23536479444088143,0.2959053314433748,0.11411965450172203,1.0883805104813757,NA,NA,ambi,vege,-7.665473872274615,2.3252272652368853
lo,brapin,vege.ambi,flower_status,157,2.3876882529167203,-2.242014318084159,0.6000900212171679,0.5137300477719199,NA,NA,NA,ambi,vege,-7.665473872274615,2.3252272652368853
lo,brapin,vege.ambi,number_seeds,31,1.2400271789848667,3.8343303367138235,0.3443512099476106,0.08093029211605922,NA,NA,NA,ambi,vege,-7.665473872274615,2.3252272652368853
lo,brapin,vege.ambi,germ_rate,60,NA,-1.8360909987643175,0.3237428489624325,NA,NA,NA,NA,ambi,vege,-7.665473872274615,2.3252272652368853
lo,brapin,vege.ambi,establishment,60,NA,-1.6981203207939974,0.7354235931081704,NA,NA,NA,NA,ambi,vege,-7.665473872274615,2.3252272652368853
lo,brapin,vege.ambi,recruit_size,208,NA,NA,NA,NA,NA,-3.2039835329262294,0.9945428623383424,ambi,vege,-7.665473872274615,2.3252272652368853
lo,broere,bare.ambi,survival,102,7.070492902574426,28.159293261504782,15.006492180085315,3.822701403073695,NA,NA,NA,ambi,bare,-4.459236290665467,4.530762015961916
lo,broere,bare.ambi,size_t1_log,50,0.5232510690481809,2.195600114630539,0.2466447838891522,0.11341069594452725,0.6147116027890485,NA,NA,ambi,bare,-4.459236290665467,4.530762015961916
lo,broere,bare.ambi,flower_status,153,2.887162778576889,-3.5845749970557512,1.1746921238078392,0.6049051747221571,NA,NA,NA,ambi,bare,-4.459236290665467,4.530762015961916
lo,broere,bare.ambi,number_seeds,52,1.028605720137237,2.767571477649827,0.10530346209255884,0.015325188273036099,NA,NA,NA,ambi,bare,-4.459236290665467,4.530762015961916
lo,broere,bare.ambi,germ_rate,60,NA,-0.470036239562515,0.17196966573907263,NA,NA,NA,NA,ambi,bare,-4.459236290665467,4.530762015961916
lo,broere,bare.ambi,establishment,59,NA,-0.3629054936893688,0.2301936802668192,NA,NA,NA,NA,ambi,bare,-4.459236290665467,4.530762015961916
lo,broere,bare.ambi,recruit_size,224,NA,NA,NA,NA,NA,-2.927731647678922,0.8695725682001418,ambi,bare,-4.459236290665467,4.530762015961916
lo,broere,vege.ambi,survival,102,7.070492902574426,28.159293261504782,15.006492180085315,3.822701403073695,NA,NA,NA,ambi,vege,-5.198717850741933,2.691353980664583
lo,broere,vege.ambi,size_t1_log,50,0.8745636352815002,1.0823884295170865,0.18286138723150608,0.09693186475370365,0.6147116027890485,NA,NA,ambi,vege,-5.198717850741933,2.691353980664583
lo,broere,vege.ambi,flower_status,153,2.887162778576889,-0.6011902486542802,0.4976610883570538,0.6049051747221571,NA,NA,NA,ambi,vege,-5.198717850741933,2.691353980664583
lo,broere,vege.ambi,number_seeds,52,0.9466339008843035,3.1631157499960367,0.11535212863101062,0.04245534652955386,NA,NA,NA,ambi,vege,-5.198717850741933,2.691353980664583
lo,broere,vege.ambi,germ_rate,60,NA,-1.2004086734029096,0.19010962947037907,NA,NA,NA,NA,ambi,vege,-5.198717850741933,2.691353980664583
lo,broere,vege.ambi,establishment,59,NA,-2.730029107812125,0.5958783966336354,NA,NA,NA,NA,ambi,vege,-5.198717850741933,2.691353980664583
lo,broere,vege.ambi,recruit_size,224,NA,NA,NA,NA,NA,-2.927731647678922,0.8695725682001418,ambi,vege,-5.198717850741933,2.691353980664583
lo,cenjac,bare.ambi,survival,119,NA,4.770684624368846,1.0042214205370932,NA,NA,NA,NA,ambi,bare,-3.5016583646025152,4.335416942390241
lo,cenjac,bare.ambi,size_t1_log,59,0.7487275223304746,0.2702118214148143,0.1242692485068583,0.055233324059298546,0.8203286611864733,NA,NA,ambi,bare,-3.5016583646025152,4.335416942390241
lo,cenjac,bare.ambi,flower_status,178,3.0687337004468467,-0.5823409285709275,0.4981913173375853,0.5376819037976766,NA,NA,NA,ambi,bare,-3.5016583646025152,4.335416942390241
lo,cenjac,bare.ambi,number_seeds,118,0.9561601550506328,4.591542748022731,0.07385935878148059,0.005894675019281532,NA,NA,NA,ambi,bare,-3.5016583646025152,4.335416942390241
lo,cenjac,bare.ambi,germ_rate,59,NA,-1.2000326716723717,0.22245120737859203,NA,NA,NA,NA,ambi,bare,-3.5016583646025152,4.335416942390241
lo,cenjac,bare.ambi,establishment,59,NA,-1.1486227071256396,0.225065072534806,NA,NA,NA,NA,ambi,bare,-3.5016583646025152,4.335416942390241
lo,cenjac,bare.ambi,recruit_size,232,NA,NA,NA,NA,NA,-2.9481542399236655,1.0444064418742667,ambi,bare,-3.5016583646025152,4.335416942390241
lo,cenjac,vege.ambi,survival,119,NA,4.770684624368846,1.0042214205370932,NA,NA,NA,NA,ambi,vege,-5.639311253528768,1.9709354161508605
lo,cenjac,vege.ambi,size_t1_log,59,0.7487275223304746,0.2702118214148143,0.1242692485068583,0.055233324059298546,0.8203286611864733,NA,NA,ambi,vege,-5.639311253528768,1.9709354161508605
lo,cenjac,vege.ambi,flower_status,178,3.0687337004468467,3.632392308860815,0.7278517499280857,0.5376819037976766,NA,NA,NA,ambi,vege,-5.639311253528768,1.9709354161508605
lo,cenjac,vege.ambi,number_seeds,118,0.5733540820967893,3.733222636497626,0.07591542393599142,0.02215941054214033,NA,NA,NA,ambi,vege,-5.639311253528768,1.9709354161508605
lo,cenjac,vege.ambi,germ_rate,59,NA,-1.9742601769196098,0.24579745523893198,NA,NA,NA,NA,ambi,vege,-5.639311253528768,1.9709354161508605
lo,cenjac,vege.ambi,establishment,59,NA,-1.1486227071256396,0.225065072534806,NA,NA,NA,NA,ambi,vege,-5.639311253528768,1.9709354161508605
lo,cenjac,vege.ambi,recruit_size,232,NA,NA,NA,NA,NA,-2.9481542399236655,1.0444064418742667,ambi,vege,-5.639311253528768,1.9709354161508605
lo,daucar,bare.ambi,survival,86,-0.5733139632124241,-0.13276112942273624,0.23488668690797093,0.18176360794297874,NA,NA,NA,ambi,bare,-4.539570040763867,1.6931834168893787
lo,daucar,bare.ambi,size_t1_log,9,1.5174759769941406,0.9966773360887863,0.7180936004971047,0.4450436901347857,0.7057031664461567,NA,NA,ambi,bare,-4.539570040763867,1.6931834168893787
lo,daucar,bare.ambi,flower_status,95,-0.7746611615687424,-2.413378625867058,0.6575302499228594,0.5837280602316862,NA,NA,NA,ambi,bare,-4.539570040763867,1.6931834168893787
