site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,hypper,bare.warm,germ_rate,57,NA,-3.865979066926109,0.25260409787294313,NA,NA,NA,NA,warm,bare,-3.9378990256927264,2.809852776844376
hi,hypper,bare.warm,establishment,49,NA,-1.1939224672096767,0.3609684767965023,NA,NA,NA,NA,warm,bare,-3.9378990256927264,2.809852776844376
hi,hypper,bare.warm,recruit_size,202,NA,NA,NA,NA,NA,-3.5479282833167405,0.7572952265462148,warm,bare,-3.9378990256927264,2.809852776844376
hi,hypper,vege.ambi,survival,236,NA,21.960401139225567,2558.9402836133386,NA,NA,NA,NA,ambi,vege,-5.313871904282265,-0.06572500484635146
hi,hypper,vege.ambi,size_t1_log,116,0.8887980158297601,0.2279639917659737,0.3466854009878663,0.1061720076042779,0.6473105731619483,NA,NA,ambi,vege,-5.313871904282265,-0.06572500484635146
hi,hypper,vege.ambi,flower_status,344,2.9351920394070965,3.509576789770122,0.7536129536568668,0.4058930184024181,NA,NA,NA,ambi,vege,-5.313871904282265,-0.06572500484635146
hi,hypper,vege.ambi,number_seeds,83,1.2533896426033353,6.608331766611341,0.15313260804498408,0.0598007632154094,NA,NA,NA,ambi,vege,-5.313871904282265,-0.06572500484635146
hi,hypper,vege.ambi,germ_rate,57,NA,-3.2188758057853066,0.19624293414209407,NA,NA,NA,NA,ambi,vege,-5.313871904282265,-0.06572500484635146
hi,hypper,vege.ambi,establishment,49,NA,-1.1939224672096767,0.3609684767965023,NA,NA,NA,NA,ambi,vege,-5.313871904282265,-0.06572500484635146
hi,hypper,vege.ambi,recruit_size,202,NA,NA,NA,NA,NA,-3.5479282833167405,0.7572952265462148,ambi,vege,-5.313871904282265,-0.06572500484635146
hi,hypper,vege.warm,survival,236,NA,21.960401139225567,2558.9402836133386,NA,NA,NA,NA,warm,vege,-4.1485892828882385,-0.6977436343229582
hi,hypper,vege.warm,size_t1_log,116,0.8887980158297601,0.2279639917659737,0.3466854009878663,0.1061720076042779,0.6473105731619483,NA,NA,warm,vege,-4.1485892828882385,-0.6977436343229582
hi,hypper,vege.warm,flower_status,344,2.9351920394070965,0.9497017402658772,0.6704127421202374,0.4058930184024181,NA,NA,NA,warm,vege,-4.1485892828882385,-0.6977436343229582
