unique_plant_ID,species,functional_group,date_planting,survival_2021,survival_2022,survival_2023,flower_status_2021,flower_status_2022,flower_status_2023,biomass_comb_2021,biomass_comb_2022,biomass_comb_2023,number_seeds_2021,number_seeds_2022,number_seeds_2023,height_vegetative_str_2021,height_vegetative_str_2022,height_vegetative_str_2023,number_leaves_2021,number_leaves_2022,number_leaves_2023
CHE.lo.ambi.bare.wf.03.21.1,medlup,legume,2021-06-16,1,1,0,1,1,NA,0.295021197778768,2.4610364970749976,NA,103.63636363636363,3109.090909090909,NA,75,282,NA,58,202,NA
CHE.lo.ambi.bare.wf.03.22.2,silvul,forb,2021-06-24,1,1,1,0,1,1,2.3513794490012043,11.909851606186146,10.1,0,3395.4666666666662,249.66666666666666,110,342,425,300,856,382
CHE.lo.ambi.bare.wf.03.23.3,scacol,forb,2021-06-24,1,1,1,0,1,1,0.48918253780235105,18.276001122372985,48.59,0,2033.2,7350.8,92,374,483,17,119,230
CHE.lo.ambi.bare.wf.03.24.2,scacol,forb,2021-06-21,1,1,1,0,1,1,0.33076473105541143,14.999628770460228,35.67,0,3049.8,5552.2,61,604,395,18,90,152
CHE.lo.ambi.bare.wf.03.25.1,cenjac,forb,2021-06-16,1,1,1,1,1,1,0.7751536393042948,26.456585940472802,15.24,62.4,2246.4,1747.2,164,537,554,20,319,185
CHE.lo.ambi.bare.wf.03.26.1,salpra,forb,2021-06-16,1,1,1,0,1,1,0.7997145405709297,5.561144262704062,17.19,0,896.7272727272727,1494.5454545454545,120,261,311,14,26,45
CHE.lo.ambi.bare.wf.03.27.2,medlup,legume,2021-06-24,1,1,0,1,1,NA,1.0995567403102526,3.571229024908414,NA,746.1818181818181,4145.454545454545,NA,130,292,NA,102,324,NA
CHE.lo.ambi.bare.wf.03.28.1,salpra,forb,2021-06-16,1,1,1,0,1,1,0.4445507159454518,3.280548075702507,6.84,0,99.63636363636364,498.1818181818182,74,139,283,15,29,72
CHE.lo.ambi.bare.wf.03.29.1,plamed,forb,2021-06-16,1,1,1,1,1,0,1.7488731875214154,8.98480649419107,8.65,880.0555555555555,1760.111111111111,0,78,130,114,13,40,41
CHE.lo.ambi.bare.wf.03.30.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.2429365325145646,6.494091779425845,4.4,0,1060.8,624,114,335,269,12,136,119
CHE.lo.ambi.bare.wf.07.02.2,daucar,forb,2021-06-22,1,0,0,0,NA,NA,3.2502572289352463,NA,NA,0,NA,NA,156,NA,NA,23,NA,NA
CHE.lo.ambi.bare.wf.07.04.2,broere,graminoid,2021-06-22,1,1,1,0,1,1,1.0446648305212813,19.244396837955914,51.1,0,386.7857142857143,1469.7857142857142,219,556,658,57,328,440
CHE.lo.ambi.bare.wf.07.05.2,hypper,forb,2021-06-22,1,1,1,0,1,1,0.6407692740982436,11.79964053331314,5.95,0,45602,13892,114,432,324,234,1000,676
CHE.lo.ambi.bare.wf.07.06.3,scacol,forb,2021-06-24,1,1,0,0,1,NA,1.3277436995861047,15.522835874482995,NA,0,5708.6,NA,106,452,NA,21,108,NA
