unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,flower_status,biomass,height_vegetative_str,number_leaves
CHE.hi.ambi.bare.wf.07.15.1,hypper,forb,2021-06-23,2021-06-17,EI,0,0.012090559964593985,26,12
CHE.hi.ambi.bare.wf.07.16.1,brapin,graminoid,2021-06-23,2021-06-17,EI,0,0.07043562150618102,144,9
CHE.hi.ambi.bare.wf.07.17.1,plamed,forb,2021-06-23,2021-06-17,EI,0,0.08103032059872256,36,6
CHE.hi.ambi.bare.wf.07.18.1,hypper,forb,2021-06-23,2021-06-17,EI,0,0.02199261475131495,47,16
CHE.hi.ambi.bare.wf.07.19.1,salpra,forb,2021-06-23,2021-06-17,EI,0,0.14303235179550583,49,10
CHE.hi.ambi.bare.wf.07.20.1,silvul,forb,2021-06-23,2021-06-17,EI,0,0.040381566469650174,61,11
CHE.hi.ambi.bare.wf.07.21.1,medlup,legume,2021-06-23,2021-06-17,EI,0,0.06050956089495282,80,7
CHE.hi.ambi.bare.wf.07.22.1,silvul,forb,2021-06-23,2021-06-17,EI,0,0.060213775777860856,57,16
CHE.hi.ambi.bare.wf.07.23.1,scacol,forb,2021-06-23,2021-06-17,EI,0,0.058433610605028975,35,8
CHE.hi.ambi.bare.wf.07.24.1,scacol,forb,2021-06-23,2021-06-17,EI,0,0.09006787193733663,52,8
CHE.hi.ambi.bare.wf.07.25.1,cenjac,forb,2021-06-23,2021-06-17,EI,0,0.08379500263937122,158,5
CHE.hi.ambi.bare.wf.07.26.1,salpra,forb,2021-06-23,2021-06-17,EI,0,0.08545793458051269,43,7
CHE.hi.ambi.bare.wf.07.27.1,medlup,legume,2021-06-23,2021-06-17,EI,0,0.02249158728899726,61,5
CHE.hi.ambi.bare.wf.07.28.1,salpra,forb,2021-06-23,2021-06-17,EI,0,0.14429844738859177,64,8
CHE.hi.ambi.bare.wf.07.29.1,plamed,forb,2021-06-23,2021-06-17,EI,0,0.04719444538140247,32,5
CHE.hi.ambi.bare.wf.07.30.2,cenjac,forb,2021-06-23,2021-06-23,EI,0,0.09933145279647687,135,6
CHE.hi.ambi.vege.wf.08.01.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.08813646987785523,289,6
CHE.hi.ambi.vege.wf.08.02.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.14034191881475297,127,5
CHE.hi.ambi.vege.wf.08.03.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.05014034201262766,292,4
CHE.hi.ambi.vege.wf.08.04.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.0446773367959618,241,4
CHE.hi.ambi.vege.wf.08.05.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.023418411615203,46,16
CHE.hi.ambi.vege.wf.08.06.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.09408465668278683,58,7
CHE.hi.ambi.vege.wf.08.07.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.05852103142603334,320,4
CHE.hi.ambi.vege.wf.08.08.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.037059626011148816,181,5
CHE.hi.ambi.vege.wf.08.09.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.038030466339992686,95,6
CHE.hi.ambi.vege.wf.08.10.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.16062170703756862,60,5
CHE.hi.ambi.vege.wf.08.11.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.06755827791000768,86,13
CHE.hi.ambi.vege.wf.08.12.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.20189950932257023,137,6
CHE.hi.ambi.vege.wf.08.13.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.17207731916376937,146,5
CHE.hi.ambi.vege.wf.08.14.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.08031785822799625,157,5
CHE.hi.ambi.vege.wf.08.15.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.10135030991758524,81,46
CHE.hi.ambi.vege.wf.08.16.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.07992105102233289,232,7
CHE.hi.ambi.vege.wf.08.17.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.23516145051573129,82,5
CHE.hi.ambi.vege.wf.08.18.1,hypper,forb,2021-06-24,2021-06-17,EI,0,0.022997668157245174,49,15
CHE.hi.ambi.vege.wf.08.19.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.1521949785374184,62,8
CHE.hi.ambi.vege.wf.08.20.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.09802051507618348,150,12
CHE.hi.ambi.vege.wf.08.21.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.035750057574195825,63,6
CHE.hi.ambi.vege.wf.08.22.1,silvul,forb,2021-06-24,2021-06-17,EI,0,0.1055332453140806,128,15
CHE.hi.ambi.vege.wf.08.23.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.11921596943892591,61,8
CHE.hi.ambi.vege.wf.08.24.1,scacol,forb,2021-06-24,2021-06-17,EI,0,0.047680200863162346,30,9
CHE.hi.ambi.vege.wf.08.25.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.09747025528658561,142,6
CHE.hi.ambi.vege.wf.08.26.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.1231020832600476,58,7
CHE.hi.ambi.vege.wf.08.27.1,medlup,legume,2021-06-24,2021-06-17,EI,0,0.02872885799481122,70,6
CHE.hi.ambi.vege.wf.08.28.1,salpra,forb,2021-06-24,2021-06-17,EI,0,0.1310713252501312,58,8
CHE.hi.ambi.vege.wf.08.29.1,plamed,forb,2021-06-24,2021-06-17,EI,0,0.34828891849550253,75,6
CHE.hi.ambi.vege.wf.08.30.1,cenjac,forb,2021-06-24,2021-06-17,EI,0,0.10225933436570238,139,6
CHE.hi.warm.bare.wf.08.01.1,brapin,graminoid,2021-06-24,2021-06-17,EI,0,0.03194501100734355,142,5
CHE.hi.warm.bare.wf.08.02.1,daucar,forb,2021-06-24,2021-06-17,EI,0,0.15972776340983486,122,5
CHE.hi.warm.bare.wf.08.03.1,broere,graminoid,2021-06-24,2021-06-17,EI,0,0.034144005309826,223,4
