unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,survival,flower_status,biomass_comb,number_seeds,height_vegetative_str,number_leaves,year
CHE.lo.ambi.bare.wf.03.14.1,cenjac,forb,2021-08-16,2021-06-16,PS,1,0,0.5470192959798827,0,142,17,2021
CHE.lo.ambi.bare.wf.03.15.2,hypper,forb,2021-08-16,2021-06-21,PS,1,0,0.449946689439548,0,129,162,2021
CHE.lo.ambi.bare.wf.03.16.1,brapin,graminoid,2021-08-16,2021-06-16,PS,1,0,0.3892210642273424,0,158,34,2021
CHE.lo.ambi.bare.wf.03.17.1,plamed,forb,2021-08-16,2021-06-16,PS,1,0,0.7142116436064214,0,57,12,2021
CHE.lo.ambi.bare.wf.03.18.2,hypper,forb,2021-08-16,2021-07-05,PS,1,0,0.2514572990027141,0,121,102,2021
CHE.lo.ambi.bare.wf.03.19.1,salpra,forb,2021-08-16,2021-06-16,PS,1,0,0.34916573082454155,0,80,11,2021
CHE.lo.ambi.bare.wf.03.20.2,silvul,forb,2021-08-16,2021-06-21,PS,1,1,4.072966705883694,3545.2666666666664,221,336,2021
CHE.lo.ambi.bare.wf.03.21.1,medlup,legume,2021-08-16,2021-06-16,PS,1,1,0.295021197778768,103.63636363636363,75,58,2021
CHE.lo.ambi.bare.wf.03.22.2,silvul,forb,2021-08-16,2021-06-24,PS,1,0,2.3513794490012043,0,110,300,2021
CHE.lo.ambi.bare.wf.03.23.3,scacol,forb,2021-08-16,2021-06-24,PS,1,0,0.48918253780235105,0,92,17,2021
CHE.lo.ambi.bare.wf.03.24.2,scacol,forb,2021-08-16,2021-06-21,PS,1,0,0.33076473105541143,0,61,18,2021
CHE.lo.ambi.bare.wf.03.25.1,cenjac,forb,2021-08-16,2021-06-16,PS,1,1,0.7751536393042948,62.4,164,20,2021
CHE.lo.ambi.bare.wf.03.26.1,salpra,forb,2021-08-16,2021-06-16,PS,1,0,0.7997145405709297,0,120,14,2021
CHE.lo.ambi.bare.wf.03.27.2,medlup,legume,2021-08-16,2021-06-24,PS,1,1,1.0995567403102526,746.1818181818181,130,102,2021
CHE.lo.ambi.bare.wf.03.28.1,salpra,forb,2021-08-16,2021-06-16,PS,1,0,0.4445507159454518,0,74,15,2021
CHE.lo.ambi.bare.wf.03.29.1,plamed,forb,2021-08-16,2021-06-16,PS,1,1,1.7488731875214154,880.0555555555555,78,13,2021
CHE.lo.ambi.bare.wf.03.30.1,cenjac,forb,2021-08-16,2021-06-16,PS,1,0,0.2429365325145646,0,114,12,2021
CHE.lo.ambi.bare.wf.07.02.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,3.2502572289352463,0,156,23,2021
CHE.lo.ambi.bare.wf.07.04.2,broere,graminoid,2021-08-16,2021-06-22,PS,1,0,1.0446648305212813,0,219,57,2021
CHE.lo.ambi.bare.wf.07.05.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,0.6407692740982436,0,114,234,2021
CHE.lo.ambi.bare.wf.07.06.3,scacol,forb,2021-08-16,2021-06-24,PS,1,0,1.3277436995861047,0,106,21,2021
CHE.lo.ambi.bare.wf.07.07.2,broere,graminoid,2021-08-16,2021-06-22,PS,1,0,0.02445612501723819,0,192,3,2021
CHE.lo.ambi.bare.wf.07.08.2,brapin,graminoid,2021-08-16,2021-06-22,PS,1,0,0.12288935530051799,0,189,16,2021
CHE.lo.ambi.bare.wf.07.09.2,medlup,legume,2021-08-16,2021-06-22,PS,1,1,0.5330458508226249,103.63636363636363,64,180,2021
CHE.lo.ambi.bare.wf.07.10.2,plamed,forb,2021-08-16,2021-06-22,PS,1,0,2.2792607267299014,0,65,15,2021
